location_code,hora,cantidad,sentido,latitud,longitud
"48Q38F00+","2020-05-01T03:00:00-0300",79,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T03:00:00-0300",30,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T03:00:00-0300",108,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T03:00:00-0300",25,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T03:00:00-0300",24,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T03:00:00-0300",20,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T03:00:00-0300",30,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T03:00:00-0300",49,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T03:00:00-0300",78,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T03:00:00-0300",101,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T03:00:00-0300",252,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T03:00:00-0300",239,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T03:00:00-0300",57,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T03:00:00-0300",186,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T03:00:00-0300",1,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T03:00:00-0300",6,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T03:00:00-0300",112,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T03:00:00-0300",61,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T03:00:00-0300",46,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T03:00:00-0300",30,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T03:00:00-0300",6,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T03:00:00-0300",8,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T03:00:00-0300",12,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T03:00:00-0300",86,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T03:00:00-0300",91,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T03:00:00-0300",86,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T03:00:00-0300",38,"Interna",-34.588796,-58.38152
